,,,,,,,,,,,,,,,,,,,,,,QT 2000 MPN,,QT-51 WELL MPN,
,,,,,,,Human,,Birds,,Dog,Muskrat,Ruminants,Acrobacter,Salmonella,Campylobacter,Enteroccocus ,STX1,STX2,Culture Arco,,TC Colilert ,EC Colilert,Enterolert,10 mL FC
,,,,,,,HF183,HumM2,CGO1,LeeSg,Dog3,MuBac,Rum2bac,Abutz hsp60,InvA,VD16S,Calibrator ,Shigatoxin 1,Shigatoxin 2,,,total coliforms,E. Coli,,thermotolerant colifroms
Date ,Date Sampled,Week ,Pond,Location,Sample ID,Rainfall (MM),Copies per 100 ml,,,,,,,,,,Cell Eqivalents (CCEs),,,,,,,,fecal coliforms
May 11 2017,5/11/17,Week 1,Country Hills,Outfall WP31C,30479,1.6,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,190,No,No,,,248,4,2,less than 10
May 11 2017,5/11/17,Week 1,McCall_Lake,Inlet 3/4,30480,1.6,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,177,No,No,,,56,16,1,10
May 11 2017,5/11/17,Week 1,McCall_Lake,Outfall ML2,30481,1.6,163824,18990,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,2304,No,No,,,more than 2419.6,461,165,more than 600
May 16 2017,5/16/17,Week 2 ,Inverness,Outfall WP26C,31308,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,165,#REF!,#REF!,,,68,NIL,NIL,less than 10
May 16 2017,5/16/17,Week 2 ,Inverness,Outfall WP26D,31309,0,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,71,No,No,,,27,NIL,NIL,less than 10
May 16 2017,5/16/17,Week 2 ,Country Hills,Outfall WP31D,31310,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,76,No,No,,,308,2,NIL,less than 10
May 16 2017,5/16/17,Week 2,Country Hills,Outfall WP31C,31312,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,239,No,No,,,579,9,14,10
May 16 2017,5/16/17,Week 2,Country Hills,Inlet WP31B,31313,0,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,117,Not tested,Not tested,,,245,3,NIL,less than 10
May 16 2017,5/16/17,Week 2,Inverness,Outfall WP26B,31314,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,48,Not tested,Not tested,,,18,NIL,NIL,less than 10
May 16 2017,5/16/17,Week 2,McCall_Lake,Inlet PR60,31315,0,DNQ,not detected,11208,not detected,not detected,not detected,not detected,not detected,not detected,not detected,644,No,No,,,248,NIL,4,10
May 16 2017,5/16/17,Week 2,Country Hills,Outfall WP31A,31316,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,125,No,No,,,291,3,1,10
May 16 2017,5/16/17,Week 2,McCall_Lake,Outfall ML2,31317,0,153282,7566,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,10960,No,No,,,2419.6,161,29,230
May 16 2017,5/16/17,Week 2,McCall_Lake,Outfall ML1,31318,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,238,No,No,,,187,2,1,less than 10
May 16 2017,5/16/17,Week 2,Country Hills,Outfall WP31E,31319,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,376,No,No,,,1120,4,4,less than 10
May 16 2017,5/16/17,Week 2,McCall_Lake,Inlet 3/4,31320,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,205,Not tested,Not tested,,,179,1,1,less than 10
May 16 2017,5/16/17,Week 2,Inverness,Outfalls Inlet,31558,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,689,No,No,,,517,NIL,NIL,less than 10
May 19 2017,5/19/17,Week 2,Inverness,Outfall WP26C,31941,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,224,No,No,,,55,1,NIL,Less than 10
May 19 2017,5/19/17,Week 2,McCall_Lake,Inlet 3/4,31942,0,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,519,No,No,,,308,49,8,40
May 19 2017,5/19/17,Week 2,McCall_Lake,Inlet PR60,31943,0,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1406,No,No,,,207,38,4,30
May 19 2017,5/19/17,Week 2,McCall_Lake,Outfall ML2,31944,0,11964,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,926,No,No,,,1554,77,32,150
May 19 2017,5/19/17,Week 2,Country Hills,Outfall WP31A,31945,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,159,No,No,,,411,19,1,10
May 19 2017,5/19/17,Week 2,Inverness,Outfalls Inlet,31946,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,4630,No,No,,,1733,3,3,less than 10
May 19 2017,5/19/17,Week 2,Country Hills,Outfall WP31E,31947,0,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,258,No,No,,,388,28,6,10
May 19 2017,5/19/17,Week 2,McCall_Lake,Outfall ML1,31948,0,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1780,No,No,,,379,46,8,70
May 19 2017,5/19/17,Week 2,Country Hills,Outfall WP31D,31949,0,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,214,Not tested,Not tested,,,981,11,NIL,20
May 19 2017,5/19/17,Week 2,Inverness,Outfall WP26B,31950,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,276,No,No,,,69,less than 1,5,20
May 19 2017,5/19/17,Week 2,Country Hills,Inlet WP31B,31951,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,156,No,No,,,326,11,more than 201,10
May 19 2017,5/19/17,Week 2,Country Hills,Outfall WP31C,31952,0,not detected,DNQ,not detected,not detected,not detected,5898,not detected,not detected,not detected,not detected,578,Not tested,Not tested,,,1047,136,14,140
May 19 2017,5/19/17,Week 2,Inverness,Outfall WP26D,31953,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,251,Not tested,Not tested,,,28.5,less than 1,nil,less than 10
May 23 2017,5/23/17,Week 3 ,Country Hills,Outfall WP31E,33227,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,206,Not tested,Not tested,,,981,2,<1,10
May 23 2017,5/23/17,Week 3 ,McCall_Lake,Inlet pr60,33228,0,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,98,No,No,,,67,2,1,NIL
May 23 2017,5/23/17,Week 3 ,McCall_Lake,Outfall ML2,33229,0,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,778,No,No,,,more than 2419.6,49,22,180
May 23 2017,5/23/17,Week 3,Country Hills,Outfall WP31A,33230,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,41,No,No,,,136,4,2,NIL
May 23 2017,5/23/17,Week 3,McCall_Lake,Outfall ML1,33231,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,138,No,No,,,63,2,10,1
