,,,,,,,,,,,,,,,,,,,,,QT 2000 MPN,,QT-51 WELL MPN,
,,,,,,Human,,Birds,,Dog,Muskrat,Ruminants,Acrobacter,Salmonella,Campylobacter,Enteroccocus ,STX1,STX2,Culture Arco,,TC Colilert ,EC Colilert,Enterolert,10 mL FC
,,,,,,HF183,HumM2,CGO1,LeeSg,Dog3,MuBac,Rum2bac,Abutz hsp60,InvA,VD16S,Calibrator ,Shigatoxin 1,Shigatoxin 2,,,total coliforms,E. Coli,,thermotolerant colifroms
Date Sampled,Week ,Pond,Location,Sample ID,Rainfall,Copies per 100 ml,,,,,,,,,,Cell Eqivalents (CCEs),,,,,,,,fecal coliforms
,,Inverness,Pond outfall WP26D,31309,,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,71,No,No,,,27,NIL,NIL,less than 10
,,Country Hills,Pond outfall WP31D,31310,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,76,No,No,,,308,2,NIL,less than 10
,,Country Hills,Pond outfall WP31C,31312,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,239,No,No,,,579,9,14,10
,,Country Hills,Pond inlet WP31B,31313,,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,117,Not tested,Not tested,,,245,3,NIL,less than 10
,,Inverness,Pond outfall WP26B,31314,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,48,Not tested,Not tested,,,18,NIL,NIL,less than 10
,,McCall Lake,Pond inlet PR60,31315,,DNQ,not detected,11208,not detected,not detected,not detected,not detected,not detected,not detected,not detected,644,No,No,,,248,NIL,4,10
,,Country Hills,Pond outfall WP31A,31316,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,125,No,No,,,291,3,1,10
,,McCall Lake,Pond outfall ML2,31317,,153282,7566,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,10960,No,No,,,2419.6,161,29,230
,,McCall Lake,Pond outfall ML1,31318,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,238,No,No,,,187,2,1,less than 10
,,Country Hills,Pond outfall WP31E,31319,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,376,No,No,,,1120,4,4,less than 10
,,McCall Lake,Pond inlet 3/4,31320,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,205,Not tested,Not tested,,,179,1,1,less than 10
,,Inverness,Outfalls Inlet,31558,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,689,No,No,,,517,NIL,NIL,less than 10
,,Inverness,outfall WP26C,31941,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,224,No,No,,,55,1,NIL,Less than 10
